unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1.55E+12,15-01-2019,BTC,3669.3,3670.84,3541,3594.78,4054.712226,14575798.42
1.55E+12,14-01-2019,BTC,3520.25,3713.16,3520.24,3669.3,2958.682827,10856294.9
1.55E+12,13-01-2019,BTC,3624.83,3644.54,3484.33,3520.25,2141.455224,7538457.751
1.55E+12,12-01-2019,BTC,3641.07,3649,3561.5,3624.83,1395.519783,5058521.977
1.55E+12,11-01-2019,BTC,3620.94,3695,3577.01,3641.07,3037.724014,11060565.78
1.55E+12,10-01-2019,BTC,4013,4034.61,3566,3620.94,7096.474002,25695906.57
1.55E+12,09-01-2019,BTC,4019.51,4044.82,3975.01,4013,2837.609777,11387328.04
1.55E+12,08-01-2019,BTC,3980.8,4112.12,3964.92,4019.51,4896.809759,19682775.79
1.55E+12,07-01-2019,BTC,4034.17,4050,3950,3980.8,3911.822363,15572182.46
1.55E+12,06-01-2019,BTC,3797.24,4079.04,3783.19,4034.17,2877.689785,11609089.8
1.55E+12,05-01-2019,BTC,3841.42,3859.5,3756.79,3797.24,1741.2333,6611880.738
1.55E+12,04-01-2019,BTC,3796.54,3857,3732.15,3841.42,2113.174757,8117591.773
1.55E+12,03-01-2019,BTC,3871.75,3878.72,3755,3796.54,3564.030756,13530985.33
1.55E+12,02-01-2019,BTC,3796.26,3911.99,3763.85,3871.75,4161.197258,16111115.48
1.55E+12,01-01-2019,BTC,3683.69,3840.85,3636.83,3796.26,2757.174668,10466951.91
1.55E+12,31-12-2018,BTC,3784.93,3820.5,3577.18,3683.69,4510.77014,16616278.86
1.55E+12,30-12-2018,BTC,3734.9,3864.93,3727.18,3784.93,2244.691235,8495999.196
1.55E+12,29-12-2018,BTC,3884.25,3937.21,3691.01,3734.9,3093.93087,11555522.41
1.55E+12,28-12-2018,BTC,3598.01,3965.23,3576.04,3884.25,5332.249523,20711790.21
1.55E+12,27-12-2018,BTC,3738.44,3775.99,3567.86,3598.01,5975.492571,21499882.03
1.55E+12,26-12-2018,BTC,3834.03,3842.27,3688.04,3738.44,3785.22805,14150847.95
1.55E+12,25-12-2018,BTC,3736.31,3863.82,3680,3834.03,3950.871127,15147758.43
1.55E+12,24-12-2018,BTC,4175,4238.33,3725,3736.31,6513.644981,24336996.88
1.55E+12,23-12-2018,BTC,4006.69,4213,3910,4175,3476.45741,14514209.68
1.55E+12,22-12-2018,BTC,3821.27,4031.09,3790.27,4006.69,2846.292283,11404210.83
1.55E+12,21-12-2018,BTC,4042.87,4091.38,3773.13,3821.27,8097.762914,30943738.49
1.55E+12,20-12-2018,BTC,3720.33,4200,3677,4042.87,12980.08034,52476777.4
1.55E+12,19-12-2018,BTC,3749.03,3922.6,3650.79,3720.33,9680.439473,36014429.39
1.55E+12,18-12-2018,BTC,3532.09,3776.6,3432.38,3749.03,8002.202016,30000495.43
1.55E+12,17-12-2018,BTC,3202.08,3584.99,3195.45,3532.09,8411.984593,29711886.66
1.54E+12,16-12-2018,BTC,3235.63,3263.05,3181.51,3202.08,1198.161148,3836607.848
1.54E+12,15-12-2018,BTC,3219.68,3243.79,3126.88,3235.63,3360.133703,10872149.41
1.54E+12,14-12-2018,BTC,3250.01,3280.59,3136.46,3219.68,5027.500968,16186944.32
1.54E+12,13-12-2018,BTC,3387.85,3413,3202.43,3250.01,6063.126192,19705220.76
1.54E+12,12-12-2018,BTC,3338.13,3486,3330.08,3387.85,5289.243811,17919164.64
1.54E+12,11-12-2018,BTC,3385.34,3426.68,3295.01,3338.13,3742.913444,12494331.65
1.54E+12,10-12-2018,BTC,3534,3540.33,3357.56,3385.34,5034.46767,17043384.78
1.54E+12,09-12-2018,BTC,3398.56,3641.28,3373.71,3534,3868.344971,13670731.13
1.54E+12,08-12-2018,BTC,3390.33,3459,3254.62,3398.56,3305.147774,11232743.02
1.54E+12,07-12-2018,BTC,3333.02,3536.36,3209.71,3390.33,8388.17715,28438688.64
1.54E+12,06-12-2018,BTC,3716.63,3846.62,3300,3333.02,10587.61807,35288742.8
1.54E+12,05-12-2018,BTC,3834.54,3879.26,3667.19,3716.63,4277.008071,15896056.51
1.54E+12,04-12-2018,BTC,3812.69,4034.99,3730.52,3834.54,4394.233515,16849864.18
1.54E+12,03-12-2018,BTC,3955.07,4023.78,3750,3812.69,5098.99426,19440884.42
1.54E+12,02-12-2018,BTC,4150.47,4183.36,3910.16,3955.07,3186.587368,12603176.1
1.54E+12,01-12-2018,BTC,3969.56,4261.6,3911.47,4150.47,2669.508258,11079713.94
1.54E+12,30-11-2018,BTC,4254,4295.09,3851,3969.56,5706.91399,22653937.5
1.54E+12,29-11-2018,BTC,4117.71,4407.45,4085.49,4254,7768.64037,33047796.13
1.54E+12,28-11-2018,BTC,3849.27,4350,3828.84,4117.71,9516.851595,39187634.98
1.54E+12,27-11-2018,BTC,3684.58,3863.39,3565,3849.27,7295.450616,28082159.19
1.54E+12,26-11-2018,BTC,3979.92,4075.96,3518.6,3684.58,12447.90978,45865319.42
1.54E+12,25-11-2018,BTC,3634.36,4116.92,3473,3979.92,9901.064702,39405445.43
1.54E+12,24-11-2018,BTC,4301.47,4325.74,3615,3634.36,6564.794638,23858827.04
1.54E+12,23-11-2018,BTC,4219.96,4371.46,4086.83,4301.47,5179.002404,22277323.47
1.54E+12,22-11-2018,BTC,4535.49,4556.92,4129.44,4219.96,6097.672585,25731934.4
1.54E+12,21-11-2018,BTC,4443.03,4643.54,4306.84,4535.49,7934.894708,35988635.6
1.54E+12,20-11-2018,BTC,4805.01,4820.24,4044.71,4443.03,19817.25659,88048665.55
1.54E+12,19-11-2018,BTC,5513.05,5515.81,4673.86,4805.01,11784.12674,56622846.84
1.54E+12,18-11-2018,BTC,5550,5658.15,5457.34,5513.05,1565.945391,8633135.241
1.54E+12,17-11-2018,BTC,5472.44,5557.39,5455.09,5550,1437.352524,7977306.507
1.54E+12,16-11-2018,BTC,5574,5576.57,5412.48,5472.44,4014.272963,21967867.93
1.54E+12,15-11-2018,BTC,5562.01,5608.35,5200,5574,6774.782499,37762637.65
1.54E+12,14-11-2018,BTC,6264,6297.66,5290,5562.01,14483.07564,80555011.55
1.54E+12,13-11-2018,BTC,6295.74,6311.13,6239.48,6264,1718.703045,10765955.87
1.54E+12,12-11-2018,BTC,6357.1,6368.3,6250,6295.74,1180.000228,7428974.638
1.54E+12,11-11-2018,BTC,6348.99,6382.25,6275,6357.1,538.1172094,3420864.912
1.54E+12,10-11-2018,BTC,6347.63,6369.99,6333,6348.99,425.1805875,2699467.298
1.54E+12,09-11-2018,BTC,6398.85,6408.89,6312,6347.63,1184.152532,7516562.138
1.54E+12,08-11-2018,BTC,6442.9,6486.53,6390.01,6398.85,3066.50997,19622137.32
1.54E+12,07-11-2018,BTC,6508.33,6521.99,6440,6442.9,3168.248827,20412710.37
1.54E+12,06-11-2018,BTC,6385.95,6540,6384.75,6508.33,4372.11241,28455150.36
1.54E+12,05-11-2018,BTC,6407.91,6421,6368.49,6385.95,3278.084728,20933685.17
1.54E+12,04-11-2018,BTC,6332.47,6453.22,6320.5,6407.91,1686.162226,10804775.79
1.54E+12,03-11-2018,BTC,6339.18,6345.34,6318.11,6332.47,332.5809477,2106058.874
1.54E+12,02-11-2018,BTC,6356.05,6369.99,6330,6339.18,1661.753776,10534156.3
1.54E+12,01-11-2018,BTC,6293.93,6380,6281.91,6356.05,2422.645852,15398458.17
1.54E+12,31-10-2018,BTC,6264.54,6346.94,6200,6293.93,3390.120298,21337179.85
1.54E+12,30-10-2018,BTC,6270.64,6287.56,6238.94,6264.54,3298.272732,20662161.46
